1	Kajakai	1952	98	2680000	0	I	0	0	65.75	31.75
2	Qyrsac	1972	46	500000	64500	H	0	0	19.75	40.25
3	Capanda	2007	110	4975000	164000	H	0	0	15.75	-9.75
4	Gove	1974	58	2574000	178200	IH	0	0	15.75	-13.25
5	Quiminha	1975	41	1560000	112000	IS	0	0	13.25	-8.75
6	Alicura	1984	130	3215000	65000	H	1000	2360	-71.25	-46.25
7	Planicie	1977	34	13800000	174000	HC	450	1510	-68.25	-38.75
8	Chocon	1973	86	20200000	82000	HCR	1200	3350	-68.75	-39.25
9	Florentin	1963	113	1855000	74000	IHC	47	0	-66.25	-43.75
10	Futaleufu	1976	130	5600000	87000	H	440	0	-71.75	-43.25
11	Belgrano	1973	112	3100000	113600	IHC	120	0	-65.25	-25.25
12	Piedra	1993	170	12400000	292000	HC	1400	5500	-70.25	-40.25
13	Hondo	1967	40	1740000	330000	IHC	17	0	-64.75	-27.75
14	Tercero	1936	51	560000	54260	IHCR	28	0	-64.25	-32.25
15	Salto	1979	47	5500000	783000	HSRI	1890	0	-58.25	-31.75
16	Blowering	1968	112	1628000	43000	IH	80	260	148.25	-35.25
17	Burdekin	1987	55	1860000	220000	I	0	0	140.25	-20.25
18	Burrendon	1967	76	1188000	89000	IC	19	51	150.25	-32.25
19	Burrinjuc	1928	91	1026000	55000	IH	28	25	148.75	-30.25
20	Copeton	1976	113	1364000	46000	I	21	54	150.75	-29.75
21	Dartmouth	1979	180	4000000	63000	IHS	150	310	147.75	-36.75
22	Eildon	1956	79	3390000	138320	IH	133	280	145.25	-37.75
23	Eucumbene	1958	116	4798400	145422	H	0	0	148.75	-36.25
24	Fairbairn	1972	49	1440000	153000	IS	0	0	148.25	-23.25
25	FredHaigh	1975	52	586000	53400	I	0	0	151.75	-24.75
26	Gordon	1974	140	12450000	268000	H	450	1389	146.25	-43.25
27	Hume	1936	51	3038000	202400	IH	60	220	146.75	-36.25
28	Menindee	1960	18	1794000	458000	I	0	0	142.75	-32.25
29	Miena	1967	28	3356000	176000	H	313	1256	146.25	-41.75
30	OrdRiver	1972	99	10760000	980000	IHCN	30	200	128.75	-15.75
31	PeterFaus	1990	51	500000	43500	ICSR	0	0	148.75	-20.25
32	Talbingo	1971	162	921400	19355	H	0	0	148.25	-35.75
33	Wivenhoe	1985	59	1150000	108000	SCHR	0	0	152.75	-27.25
34	Wyangla	1971	85	1220000	53000	I	18	43	148.75	-33.75
35	Gepatsch	1965	153	140000	2600	X	0	0	10.75	46.75
36	Karnafuli	1962	46	6500500	777000	HIC	0	0	92.25	22.75
37	Comlexede	1970	30	10000	710	X	0	0	5.75	50.25
38	Acu	1983	41	2400000	1	C	0	0	-36.75	-5.75
39	Vermelha	1978	63	11000000	650000	H	1396	3900	-50.25	-19.75
40	Araras	1958	38	1000000	9625	CHI	5	0	-40.25	-4.25
41	Balbina	1989	52	17537000	2360000	H	250	0	-59.25	-2.25
42	Bonita	1963	33	3160000	334310	HN	141	141	-48.75	-22.25
43	Esperance	1970	53	5059000	363000	HC	234	1484	-43.75	-6.75
44	Capivara	1977	60	10500000	576000	H	640	1000	-51.25	-22.75
45	Corumba	1999	90	1500000	0	X	0	0	-48.75	-15.75
46	Emborcaca	1982	158	17588000	492000	H	1192	4896	-48.25	-18.25
47	Estreito	1969	92	1418000	590000	H	1087	5145	-47.25	-20.25
48	Areia	1980	160	6100000	167000	H	1676	10000	-51.75	-26.25
49	Funil	1969	85	890000	39000	H	216	927	-44.75	-22.75
50	Furnas	1963	127	22950000	1450000	H	1216	5050	-46.25	-20.75
51	Graminha	1966	60	555000	37380	H	80	80	-46.75	-21.75
52	Ibitinga	1969	32	985000	114000	HN	131	0	-48.75	-21.75
53	Solteira	1973	74	21166000	1231000	H	3444	3230	-51.25	-20.25
54	Ita	2000	125	5100000	141000	H	1450	0	-53.25	-27.25
55	Itaparica	1988	105	10780000	828000	HI	1500	8066	-38.75	-8.75
56	Itumbiara	1980	110	17000000	778000	H	2080	7397	-49.25	-18.25
57	Jacarei	1981	63	890000	4500	S	0	0	-46.75	-22.75
58	Jequitai	1981	80	1200000	1	I	0	0	-44.25	-17.25
59	Jupia	1968	43	3680000	330000	HN	1411	1411	-51.75	-20.75
60	Jurumirim	1962	50	6520000	546490	H	97	0	-49.25	-23.25
61	Dique4	1957	52	1052000	3	HS	0	0	-49.75	-24.25
62	Manso	2005	60	2600000	1	CHN	0	0	-55.75	-14.75
63	Marimbond	1975	90	620000	438000	X	0	0	-40.75	-7.25
64	Moxoto	1977	30	1200000	93000	H	440	1646	-38.25	-9.25
65	Avanhanda	1982	71	3100000	227000	HN	348	3024	-49.75	-21.25
66	Oros	1961	54	2100000	1	CISX	0	0	-38.75	-6.25
67	Paraiting	1975	105	2463000	25456	HX	0	0	-45.75	-23.25
68	Paranoa	1960	50	600000	1	HR	30	0	-47.25	-15.25
69	Fundo	1973	47	1568000	157000	H	226	0	-52.25	-28.25
70	Real	1973	58	3650000	2350	H	158	0	-53.25	-29.25
71	Pedra	1970	58	1640000	10100	ICH	23	0	-40.25	-13.75
72	Cavalo	1986	142	5330000	1	SCIH	0	0	-39.25	-12.75
73	Comprido	1981	40	563500	1	I	0	0	-63.75	-8.75
74	PocoCurz	1958	43	504000	1	IS	0	0	-37.75	-8.25
75	Primavera	1986	38	18500000	2250000	H	1814	1814	-52.75	-22.25
76	Prata	1958	26	1052000	1	HS	0	0	-43.75	-22.75
77	Grande	1928	25	1299000	1	H	50	0	-46.75	-23.75
78	Salao	1918	15	6000000	12900	C	0	0	-39.25	-4.25
79	Santiago	1980	80	6775000	208000	H	1420	0	-52.75	-25.75
80	Simao	1978	127	12540000	674000	H	1710	10500	-50.25	-18.75
81	SerraMesa	1998	154	54400000	1784000	H	1275	6750	-48.75	-14.25
82	Sobradinh	1979	43	34100000	4124000	NHI	1050	3869	-40.75	-9.25
83	TresIrmao	1991	82	13450000	817000	NH	808	1300	-51.25	-20.75
84	TresMaria	1962	75	21000000	1155000	NH	396	2128	-45.25	-18.25
85	Tucurui	1984	106	45500000	0	X	0	0	-49.75	-3.75
86	Vereda	1959	45	640800	1	ICS	0	0	-42.75	-6.75
87	Volta	1974	55	2170000	195000	H	380	2190	-49.25	-20.25
88	Xavantes	1970	98	8780000	427590	H	414	414	-51.25	-23.25
89	Xingo	1994	150	3800000	60000	H	3000	19277	-36.75	-9.75
90	Iskar	1956	74	673000	30000	SHI	0	0	23.75	42.25
91	Kardgali	1976	104	532900	16070	HS	0	0	25.75	41.75
92	Bamendjin	1974	12	1800000	-10000	H	108	0	10.75	5.75
93	Lagdo	1982	30	7700000	800000	HC	0	0	13.25	9.25
94	Mape	1988	31	3200000	520	H	0	0	11.75	6.75
95	Mbakao	1971	30	1600000	-10000	H	128	0	12.75	6.25
96	BaieDesp	1966	40	2621165	0	H	0	0	-55.75	47.75
97	ResOA11E	1980	33	8490000	0	H	0	0	-76.75	52.25
98	Bennett	1967	183	74300000	0	H	0	0	-122.25	56.25
99	BersimisB	1959	23	1617000	0	H	0	0	-70.75	48.75
100	BersimisN	1959	83	1617000	0	H	0	0	-69.25	49.25
101	BigHorn	1972	92	1765000	0	H	0	0	-116.25	52.25
102	Brazeau	1962	89	711724	0	HC	0	0	-115.75	52.75
103	Cabonga	1957	14	1300502	0	H	0	0	-76.75	47.75
